County,Year,Variable,Value
Telfair,2020,Age-Adjusted Death Rate-All Opioids,*
Terrell,2020,Age-Adjusted Death Rate-All Opioids,*
Thomas,2020,Age-Adjusted Death Rate-All Opioids,*
Tift,2020,Age-Adjusted Death Rate-All Opioids,*
Toombs,2020,Age-Adjusted Death Rate-All Opioids,*
Towns,2020,Age-Adjusted Death Rate-All Opioids,*
Treutlen,2020,Age-Adjusted Death Rate-All Opioids,*
Troup,2020,Age-Adjusted Death Rate-All Opioids,14.8
Turner,2020,Age-Adjusted Death Rate-All Opioids,0.0
Twiggs,2020,Age-Adjusted Death Rate-All Opioids,0.0
Union,2020,Age-Adjusted Death Rate-All Opioids,45.8
Upson,2020,Age-Adjusted Death Rate-All Opioids,*
Walker,2020,Age-Adjusted Death Rate-All Opioids,28.1
Walton,2020,Age-Adjusted Death Rate-All Opioids,15.7
Ware,2020,Age-Adjusted Death Rate-All Opioids,27.1
Warren,2020,Age-Adjusted Death Rate-All Opioids,0.0
Washington,2020,Age-Adjusted Death Rate-All Opioids,0.0
Wayne,2020,Age-Adjusted Death Rate-All Opioids,22.5
Webster,2020,Age-Adjusted Death Rate-All Opioids,0.0
Wheeler,2020,Age-Adjusted Death Rate-All Opioids,0.0
White,2020,Age-Adjusted Death Rate-All Opioids,21.2
Whitfield,2020,Age-Adjusted Death Rate-All Opioids,9.9
Wilcox,2020,Age-Adjusted Death Rate-All Opioids,0.0
Wilkes,2020,Age-Adjusted Death Rate-All Opioids,*
Wilkinson,2020,Age-Adjusted Death Rate-All Opioids,*
Worth,2020,Age-Adjusted Death Rate-All Opioids,*
Appling,2020,Death Rate-All Opioids,*
Atkinson,2020,Death Rate-All Opioids,*
Bacon,2020,Death Rate-All Opioids,0.0
Baker,2020,Death Rate-All Opioids,0.0
Baldwin,2020,Death Rate-All Opioids,*
Banks,2020,Death Rate-All Opioids,*
Barrow,2020,Death Rate-All Opioids,12.9
Bartow,2020,Death Rate-All Opioids,21.9
Berrien,2020,Death Rate-All Opioids,*
Bibb,2020,Death Rate-All Opioids,7.2
Bleckley,2020,Death Rate-All Opioids,*
Brantley,2020,Death Rate-All Opioids,*
Brooks,2020,Death Rate-All Opioids,0.0
Bryan,2020,Death Rate-All Opioids,14.7
Bulloch,2020,Death Rate-All Opioids,*
Burke,2020,Death Rate-All Opioids,*
Butts,2020,Death Rate-All Opioids,19.7
Calhoun,2020,Death Rate-All Opioids,0.0
Camden,2020,Death Rate-All Opioids,14.4
Candler,2020,Death Rate-All Opioids,*
Carroll,2020,Death Rate-All Opioids,21.4
Catoosa,2020,Death Rate-All Opioids,17.6
Charlton,2020,Death Rate-All Opioids,*
Chatham,2020,Death Rate-All Opioids,15.5
Chattahoochee,2020,Death Rate-All Opioids,*
Chattooga,2020,Death Rate-All Opioids,*
Cherokee,2020,Death Rate-All Opioids,17.0
Clarke,2020,Death Rate-All Opioids,8.6
Clay,2020,Death Rate-All Opioids,*
Clayton,2020,Death Rate-All Opioids,8.5
Clinch,2020,Death Rate-All Opioids,*
Cobb,2020,Death Rate-All Opioids,15.1
Coffee,2020,Death Rate-All Opioids,*
Colquitt,2020,Death Rate-All Opioids,15.4
Columbia,2020,Death Rate-All Opioids,13.7
Cook,2020,Death Rate-All Opioids,*
Coweta,2020,Death Rate-All Opioids,7.3
Crawford,2020,Death Rate-All Opioids,0.0
Crisp,2020,Death Rate-All Opioids,*
Dade,2020,Death Rate-All Opioids,*
Dawson,2020,Death Rate-All Opioids,*
Decatur,2020,Death Rate-All Opioids,*
DeKalb,2020,Death Rate-All Opioids,11.0
Dodge,2020,Death Rate-All Opioids,*
Dooly,2020,Death Rate-All Opioids,*
Dougherty,2020,Death Rate-All Opioids,*
Douglas,2020,Death Rate-All Opioids,16.9
Early,2020,Death Rate-All Opioids,0.0
Echols,2020,Death Rate-All Opioids,0.0
Effingham,2020,Death Rate-All Opioids,13.7
Elbert,2020,Death Rate-All Opioids,25.9
Emanuel,2020,Death Rate-All Opioids,*
Evans,2020,Death Rate-All Opioids,0.0
Fannin,2020,Death Rate-All Opioids,*
Fayette,2020,Death Rate-All Opioids,6.9
Floyd,2020,Death Rate-All Opioids,16.2
Forsyth,2020,Death Rate-All Opioids,8.0
Franklin,2020,Death Rate-All Opioids,*
Fulton,2020,Death Rate-All Opioids,12.1
Gilmer,2020,Death Rate-All Opioids,25.0
Glascock,2020,Death Rate-All Opioids,0.0
Glynn,2020,Death Rate-All Opioids,19.9
Gordon,2020,Death Rate-All Opioids,*
Grady,2020,Death Rate-All Opioids,*
Greene,2020,Death Rate-All Opioids,*
Gwinnett,2020,Death Rate-All Opioids,10.1
Habersham,2020,Death Rate-All Opioids,23.9
Hall,2020,Death Rate-All Opioids,12.6
Hancock,2020,Death Rate-All Opioids,0.0
Haralson,2020,Death Rate-All Opioids,26.3
Harris,2020,Death Rate-All Opioids,16.6
Hart,2020,Death Rate-All Opioids,*
Heard,2020,Death Rate-All Opioids,*
Henry,2020,Death Rate-All Opioids,10.5
Houston,2020,Death Rate-All Opioids,10.0
Irwin,2020,Death Rate-All Opioids,0.0
Jackson,2020,Death Rate-All Opioids,11.8
Jasper,2020,Death Rate-All Opioids,*
Jefferson,2020,Death Rate-All Opioids,0.0
Jenkins,2020,Death Rate-All Opioids,*
Johnson,2020,Death Rate-All Opioids,0.0
Jones,2020,Death Rate-All Opioids,*
Lamar,2020,Death Rate-All Opioids,0.0
Lanier,2020,Death Rate-All Opioids,0.0
Laurens,2020,Death Rate-All Opioids,*
Lee,2020,Death Rate-All Opioids,*
Liberty,2020,Death Rate-All Opioids,7.9
Lincoln,2020,Death Rate-All Opioids,*
Long,2020,Death Rate-All Opioids,*
Lowndes,2020,Death Rate-All Opioids,4.2
Lumpkin,2020,Death Rate-All Opioids,23.4
McDuffie,2020,Death Rate-All Opioids,*
McIntosh,2020,Death Rate-All Opioids,*
Macon,2020,Death Rate-All Opioids,0.0
Madison,2020,Death Rate-All Opioids,16.4
Marion,2020,Death Rate-All Opioids,*
Meriwether,2020,Death Rate-All Opioids,*
Miller,2020,Death Rate-All Opioids,*
Mitchell,2020,Death Rate-All Opioids,0.0
Monroe,2020,Death Rate-All Opioids,*
Montgomery,2020,Death Rate-All Opioids,*
Morgan,2020,Death Rate-All Opioids,*
Murray,2020,Death Rate-All Opioids,*
Muscogee,2020,Death Rate-All Opioids,5.6
Newton,2020,Death Rate-All Opioids,11.5
Oconee,2020,Death Rate-All Opioids,12.2
Oglethorpe,2020,Death Rate-All Opioids,*
Paulding,2020,Death Rate-All Opioids,17.3
Peach,2020,Death Rate-All Opioids,*
Pickens,2020,Death Rate-All Opioids,15.1
Pierce,2020,Death Rate-All Opioids,25.6
Pike,2020,Death Rate-All Opioids,*
Polk,2020,Death Rate-All Opioids,16.3
Pulaski,2020,Death Rate-All Opioids,0.0
Putnam,2020,Death Rate-All Opioids,*
Quitman,2020,Death Rate-All Opioids,0.0
Rabun,2020,Death Rate-All Opioids,28.9
Randolph,2020,Death Rate-All Opioids,*
Richmond,2020,Death Rate-All Opioids,21.8
Rockdale,2020,Death Rate-All Opioids,15.4
Schley,2020,Death Rate-All Opioids,0.0
Screven,2020,Death Rate-All Opioids,*
Seminole,2020,Death Rate-All Opioids,*
Spalding,2020,Death Rate-All Opioids,13.4
Stephens,2020,Death Rate-All Opioids,*
Stewart,2020,Death Rate-All Opioids,0.0
Sumter,2020,Death Rate-All Opioids,*
Talbot,2020,Death Rate-All Opioids,*
Taliaferro,2020,Death Rate-All Opioids,0.0
Tattnall,2020,Death Rate-All Opioids,0.0
Taylor,2020,Death Rate-All Opioids,0.0
Telfair,2020,Death Rate-All Opioids,*
Terrell,2020,Death Rate-All Opioids,*
Thomas,2020,Death Rate-All Opioids,*
Tift,2020,Death Rate-All Opioids,*
Toombs,2020,Death Rate-All Opioids,*
Towns,2020,Death Rate-All Opioids,*
Treutlen,2020,Death Rate-All Opioids,*
Troup,2020,Death Rate-All Opioids,14.2
Turner,2020,Death Rate-All Opioids,0.0
Twiggs,2020,Death Rate-All Opioids,0.0
Union,2020,Death Rate-All Opioids,27.6
Upson,2020,Death Rate-All Opioids,*
Walker,2020,Death Rate-All Opioids,25.7
Walton,2020,Death Rate-All Opioids,15.5
Ware,2020,Death Rate-All Opioids,25.1
Warren,2020,Death Rate-All Opioids,0.0
Washington,2020,Death Rate-All Opioids,0.0
Wayne,2020,Death Rate-All Opioids,20.0
Webster,2020,Death Rate-All Opioids,0.0
Wheeler,2020,Death Rate-All Opioids,0.0
White,2020,Death Rate-All Opioids,19.3
Whitfield,2020,Death Rate-All Opioids,9.6
Wilcox,2020,Death Rate-All Opioids,0.0
Wilkes,2020,Death Rate-All Opioids,*
Wilkinson,2020,Death Rate-All Opioids,*
Worth,2020,Death Rate-All Opioids,*
